"","year","month","day","hour","minute","second","artistName","trackName","Popularity","danceability","energy","acousticness","instrumentalness","tempo","hype","mean_tempo","mean_hype"
"1","2020","10","26","16","01","00","Jack Johnson","Sunsets For Somebody Else",66,0.696,0.229,0.828,1.34e-05,113.273,18.053903832,113.273,24.4932367266667
"2","2020","10","26","16","15","00","Van Morrison","Into the Mystic - 2013 Remaster",72,0.608,0.524,0.367,0.00254,86.204,27.463904768,86.204,24.4932367266667
"3","2020","10","26","16","44","00","John Mayer","Daughters",68,0.674,0.413,0.836,1.95e-05,124.893,34.765465266,130.714333333333,24.4932367266667
"4","2020","10","26","16","56","00","Norah Jones","Carry On",64,0.547,0.216,0.924,0.214,79.941,9.445189032,79.941,24.4932367266667
"5","2020","10","26","20","50","00","Sixpence None The Richer","Kiss Me",76,0.526,0.749,0.023,1.76e-06,99.982,39.390308468,99.982,24.4932367266667
"6","2020","10","26","21","56","00","Ritt Momney","Put Your Records On",85,0.399,0.491,0.0563,0.00089,91.066,17.840648994,91.066,24.4932367266667
"7","2020","10","27","22","35","00","Ritt Momney","Put Your Records On",85,0.399,0.491,0.0563,0.00089,91.066,17.840648994,91.066,17.840648994
"8","2020","10","28","20","24","00","Sixpence None The Richer","Kiss Me",76,0.526,0.749,0.023,1.76e-06,99.982,39.390308468,99.982,31.439372668
"9","2020","10","28","21","15","00","Van Morrison","Into the Mystic - 2013 Remaster",72,0.608,0.524,0.367,0.00254,86.204,27.463904768,86.204,31.439372668
"10","2020","10","28","21","19","00","Van Morrison","Into the Mystic - 2013 Remaster",72,0.608,0.524,0.367,0.00254,86.204,27.463904768,86.204,31.439372668
"11","2020","10","29","02","15","00","John Mayer","Daughters",68,0.674,0.413,0.836,1.95e-05,124.893,34.765465266,130.714333333333,18.03416327775
"12","2020","10","29","02","32","00","Jack Johnson","Sunsets For Somebody Else",66,0.696,0.229,0.828,1.34e-05,113.273,18.053903832,113.273,18.03416327775
"13","2020","10","29","03","17","00","Norah Jones","Carry On",64,0.547,0.216,0.924,0.214,79.941,9.445189032,79.941,18.03416327775
"14","2020","10","29","03","26","00","Van Morrison","Into the Mystic - 2013 Remaster",72,0.608,0.524,0.367,0.00254,86.204,27.463904768,86.204,18.03416327775
"15","2020","10","29","17","41","00","The Paper Kites","Arms",60,0.41,0.141,0.931,0.0898,149.884,8.66479404,149.884,18.03416327775
"16","2020","10","29","17","55","00","Jason Isbell and the 400 Unit","If We Were Vampires",65,0.629,0.208,0.824,3.7e-06,96.609,12.639548688,96.609,18.03416327775
"17","2020","10","29","21","42","00","Alexander Martin Jazz Trio","Never Let Me Go",51,0.436,0.157,0.924,0.753,84.389,5.776595828,84.389,18.03416327775
